[2026-07-11 21:19:54] [INFO    ] discord.client: logging in using static token
[2026-07-11 21:19:55] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-07-11 21:19:55] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-07-11 21:19:55] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1472422874332664023', 'username': 'Music boy', 'avatar': '216f38ed82e857fbe08da2f11891dc5c', 'discriminator': '6130', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'b390706628219176fc12dd0c6be504e1', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-07-11 21:19:55] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-07-11 21:19:55] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-07-11 21:19:55] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1472422874332664023', 'name': 'Music bot', 'icon': '216f38ed82e857fbe08da2f11891dc5c', 'description': 'https://www.youtube.com/watch?v=0GnA8VYOfko ', 'type': None, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot': {'id': '1472422874332664023', 'username': 'Music boy', 'avatar': '216f38ed82e857fbe08da2f11891dc5c', 'discriminator': '6130', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'b390706628219176fc12dd0c6be504e1', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '53e9f79c09b47c5b3224c3136a0065210f466865c902780106d0be284a312658', 'flags': 557056, 'flags_new': '557056', 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '623690916980457509', 'username': 'rectangled', 'avatar': '5eac3bcd5377d2562d0912028e4e26ac', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 16426739, 'global_name': 'vAULTT7', 'avatar_decoration_data': {'asset': 'a_19b258f0d1bf320f024aa7f52d45d294', 'sku_id': '1466993897333985333', 'expires_at': None}, 'collectibles': {'nameplate': {'sku_id': '1382845914225442886', 'asset': 'nameplates/nameplates_v3/bonsai/', 'label': 'COLLECTIBLES_NAMEPLATES_VOL_3_BONSAI_A11Y', 'palette': 'bubble_gum'}}, 'display_name_styles': None, 'banner_color': '#faa6f3', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 2, 'approximate_user_install_count': 1, 'approximate_user_authorization_count': 1, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 228, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 2, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-07-11 21:19:55] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-07-11 21:19:55] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-29pb",{"micros":0.0}]']}}
[2026-07-11 21:19:55] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-07-11 21:19:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
